PDF,Type,Title,Authors,Mentor TA
CS224R_Project-1.pdf,Custom,MARIO: Reinforcement Learning on Image Observations,"Nika Zahedi, Nils Kuhn, Evelyn Yee",Pulkit Goel
CS_224R_Report.pdf,Custom,Reinforcement Learning for Retrieval Optimization in RAG Systems,"Ryan Tan, Jeffrey Xue, Richard Gu",Anikait Singh
CS224R_final_default_project_mpu217.pdf,Default,Fine-tuning Large Language Models via Tapered Off-Policy REINFORCE (TOPR),Mengge Pu,Zhen Wu
CS_224R__Project_Final_Report.pdf,Default,ICReward: Learning Image-to-Video Consistency Rewards,"Agnes Liang, Renee Zbizika",Haoyi Duan
Final_Report_CS224r.pdf,Custom,"Thinking, Faithful and Stable: Mitigating Hallucinations in LLMs","Chelsea Zou, Yiheng Yao, Basant Khalil",Joy He-Yueya
Your_Project_Title__5_.pdf,Custom,Hydra: Training End-to-End Parallel Reasoners,Suppakit Waiwitlikhit,Bassem Akoush
CS_224R_Project_Report.pdf,Default,Strengthening Reasoning: Curriculum-Based SFT on Countdown,"Yoshi Nakachi, Daniel Reichfeld",Anikait Singh
cs224r_finalproject_healthcarerobotics__1_.pdf,Custom,Goal-Conditioned Reinforcement Learning for Surgical Robotic Manipulation,"Daphne Barretto, Alycia Lee, Elsa Bismuth",Jensen Gao
CS224R_Project_Report__1_.pdf,Custom,KernelCompare: Optimizing CUDA Kernel Generation on Slow vs Fast Kernel Pairs,Aryan Gulati,Anikait Singh
CS224R__7_1.pdf,Default,Guiding Language Model Outputs via Principles Learned from User Feedback,Justin Adjasu,Shirley Wu
224r_final_report_actually.pdf,Custom,Cook or be Cooked: The Bitter Lesson,"Derek Askaryar, Parthav Shergill",Jensen Gao
CS224R_Final_Report (6).pdf,Custom,Aligning Text-to-Image Diffusion Models using Reinforcement Learning from Human Utility,"Wendy Yin, Yiwen Zhang",Daniel Shin
CS_224R_Project_Final_Report.pdf,Custom,Training Robotics Policies With Imitation Learning from Simulated Teleoperation: A Proof of Concept for the BEHA VIOR-1k Project,Niklas Vainio,Sirui Chen
CS224r_Final_Project_Report__3_.pdf,Custom,RL-Guided Data Selection for Language Model Finetuning,"Harshit Gupta, Animesh Jha, Rohan Garg",Sirui Chen
CS224R_Final_report (4)12.pdf,Custom,A Critical Study of the Entropy Bonus for Exploration,"Ifdita Hasan Orney, Iddah Mlauzi, George Kojo Frimpong Birikorang",Jubayer Ibn Hamid
cs224_final.pdf,Custom,Reflection-Augmented QA: Reinforcement Learning Meets Online Search,"Zhulian Huang, Binbin Li, Ying Lu",Joy He-Yueya
CS224R_Final_Report__2_ (2).pdf,Custom,"Guess, Group, Reward: Solving Connections with Policy Learning over Latent Assignments","Iris Xia, Justin Wei, Linda Tong",Sergio Charles
CS_224R_Final_Report (3).pdf,Custom,Discretizing Action Space to Improve Data Center Thermal Control with RL,"Aanika Atluri, Riya Karumanchi",Anikait Singh
final_report_cs224r1.pdf,Default,Improving LLM Reasoning Through Optimized Chain of Thought Revisioning and Precomputation,Akhil Vyas,Anikait Singh
cs224r1.pdf,Custom,Quadruped Parkour–Mixture of Experts with Visual Input to Enable Generalization,Michael Ziegltrum,Zhen Wu
Greatwood_CS224R_Final.pdf,Custom,Offline RL with Decision Transformers for T1D Glucose Control,Katherine Greatwood,Jinny Chung
CS_224R__Final_Project_Report.pdf,Custom,Training Large Language Models as Active Agents for Dense Control Tasks,"Ishan Khare, Gabe Seir, Anthony Zhan",Sri Jaladi
CS224R_Final_Report__1_.pdf,Default,Combining Direct Preference Optimization with Reward-Based Reranking for Improved Instruction-Following in Small Language Models,"Renee Qin, Nicole Garcia",Fengyu Li
CS224R_Final_Report (9)1.pdf,Custom,Training Large Language Models as Optimizers for Drug Discovery,"Buttenschoen, Chakraborty, Hla, Wang",Jubayer Ibn Hamid
CS_224R_Final_Report.pdf,Default,Countdown to Brilliance: Evolving Math Reasoning Through Train and Test-Time Compute,"Codey Sun, Doug Fulop, Xiang Li",Xingze Dai
CS_224R_Final_Report-8.pdf,Custom,Entropy-Based Rewards for Chain of Thought Reasoning,Julien Darve,Anikait Singh
224r_final_report__final_.pdf,Default,Enhancing Mathematical Reasoning Capabilities Through Frontier Examples,"Ohm Patel, Will Healy, Klara Andra-Thomas",Zhen Wu
CS_224R_Final_Project__1_.pdf,Custom,ReFL guided Text2SVG Generation for Tactile Graphics,Seonghee Lee,Yash Kankariya
CS224R_Final_Paper12.pdf,Custom,A Dream Is All You Need,"Devin Gupta, Ali Ahmad, Annie Lee",Jensen Gao
Deep_Reinforcement_Learning_for_Efficient_PDE_Solvers__1_.pdf,Custom,Deep Reinforcement Learning for Efficient PDE Solvers,Ivan Ge,Sri Jaladi
cs224r_final_report_2025.pdf,Custom,RL-Based Game Generation with PRewrite: Iterative Prompt Optimization for AI-Assisted Game Development,Abel Dagne,Bassem Akoush
Final_Project__Not_Tom_s_Walmart_Ahh_Version_.pdf,Default,CDPO: Curriculum-Driven Preference Optimization for Small-Scale LLM Alignment,"Adam Chun, Josh Francis, Tom Nguyen",Joy He-Yueya
fp.pdf,Custom,WhiteboardGym,"Shraman Kar, Shreyas Kar",Jubayer Ibn Hamid
CS224R_Final_Report__2_ (1)1.pdf,Custom,"Less Details, But Be Thorough: Addressing Contradicting User Preferences in Multi-turn LLM-based Conversation","Eugenie Shi, Haorui Guo, Shuojia Fu",Jinny Chung
cs224r_project_final_report__1_.pdf,Custom,Exploration Strategies for Reasoning Fine-tuning,Nick Mecklenburg,Joy He-Yueya
CS224R_Final__3_.pdf,Custom,Learning Optimal Military Resource Allocation using Reinforcement Learning,Lucas Bosman,Jensen Gao
CS224R_Final_Report.pdf.pdf,Custom,Video Style Transfer with Reinforcement Learning,"Amelia Kuang, Sirui (Ariel) Chen",Jinny Chung
CS224_Custom_Final_Report___Connor_Huang_Marsh.pdf,Custom,Multi-Negative Softmax DPO for Legal Reasoning,Connor Huang Marsh,Haoyi Duan
cs224r_final_project (3).pdf,Custom,Automatic Piano Transcription with Diffusion Q-Learning,"Alex Hodges, Dante Danelian, Ramya Ayyagari",Bassem Akoush
CS224R_Final_Report__2_.pdf,Custom,Deep Reinforcement Learning for Rhythm Game Control,Everett Lee,Sergio Charles
Contrastive_Test_Time_Scaling___CS224R-2.pdf,Custom,Contrastive Test-Time Scaling,"Nattaput Namchittai, Julia Huang",Ashish Rao
CS_224R___Final_Report__Moorthy__Ma___1_.pdf,Default,Improving Math Reasoning via GRPO on Offline Synthetic Hard Negative Generation,"Arun Moorthy, Alan Ma",Shirley Wu
final_report1.pdf,Default,Robot Trains Robot: Automatic Real-World Policy Adaptation and Learning for Humanoids,"Kaizhe Hu, Haochen Shi, Yao He",Zhen Wu
CS224R_final_paper__3_.pdf,Default,Stylized user preference alignment with Direct Preference Optimization (DPO),"Justine Breuch, Rafael Cardoso Ferreira",Jinny Chung
CS224R_Report12.pdf,Custom,Reinforcement Learning in Cryptocurrency Trading,"Alex Bloom, Michael Liu",Xingze Dai
CS_224R_Final_Report-4.pdf,Custom,SigmaGo: Five Steps Stones Ahead,"Emily Xia, Eric Chen, Robin Li",Sri Jaladi
Real_Time_Vision_Language_Action_Control_for_Open_Source_Quadruped_Robots.pdf,Custom,Real-Time Vision-Language-Action Control for Open-Source Quadruped Robots,Sagar Manglani,Haoyi Duan
CS224R_Final_Project (2)1.pdf,Custom,Reinforcement Learning for Sea-surface UAV Tracking of Underwater Submarines,"Maxime de Belloy, Varun Agarwal",Zhen Wu
CS224R_final_report (12).pdf,Custom,Adaptive action chunk selector,"Ruopei Chen, Ke Wang, Yazhou Zhang",Marcel Torne
CS224R_Custom_Project_Report.pdf,Custom,Improving Multi-Agent Path Planning via Indirect Communication in Cooperative Tasks,Abhinav Shaw,Shirley Wu
CS224R_Final_Project__11_.pdf,Custom,Compression of Thought,Andrew Lanpouthakoun,Xingze Dai
CS224R_Final_Report__1_ (4).pdf,Custom,Reinforcement Learning for Predicting Future Stock Performance,"Jonathan Larkin, Ram Komarraju, Tamika Bassman",Pulkit Goel
CS224R_ProjectReport_Harish.pdf,Custom,Goal based Long-Horizon Multi-task Robot aided by LLM or VLP with Action Primitives,Harish Balasubramaniam,Sirui Chen
